Date,CPIH,Unemployment,Employment,GDP,Money,Bank_Rate,EOI,JW2P,GVHE,ANSC
01/01/1989,5.7,,,0.5,16773,12.88,-14,,,
01/02/1989,5.8,,,0.5,16784,12.88,-18,,,
01/03/1989,5.9,,,0.5,16871,12.88,-14,,,
01/04/1989,5.6,,,0.6,16872,12.88,-28,,,
01/05/1989,5.9,,,0.6,16986,12.88,-21,,,
01/06/1989,5.8,,,0.6,17078,13.75,-30,,,
01/07/1989,5.7,,,0.2,17179,13.75,-19,,,
01/08/1989,5.5,,,0.2,17308,13.75,-18,,,
01/09/1989,5.7,,,0.2,17359,13.84,-18,,,
01/10/1989,5.8,,,0,17468,13.75,-27,,,
01/11/1989,5.7,,,0,17602,14.88,-33,,,
01/12/1989,5.8,,,0,17730,14.88,-24,,,
01/01/1990,5.9,,,0.5,17783,14.88,-31,,,
01/02/1990,6.3,,,0.5,17850,14.88,-38,,,
01/03/1990,6.2,,,0.5,17905,14.88,-43,,,
01/04/1990,7.7,,,0.7,18059,14.88,-37,,,
01/05/1990,8.2,,,0.7,18134,14.88,-31,,,
01/06/1990,8.2,,,0.7,18181,14.88,-24,,,
01/07/1990,8.2,,,-1.1,18184,14.88,-19,,,
01/08/1990,8.9,,,-1.1,18197,14.88,-43,,,
01/09/1990,9.2,,,-1.1,18221,14.88,-46,,,
01/10/1990,9.2,,,-0.5,18194,14.88,-21,,,
01/11/1990,9.2,,,-0.5,18186,14.88,-24,,,
01/12/1990,9.2,,,-0.5,18204,13.88,-20,,,
01/01/1991,8.6,,,-0.5,18223,13.88,-30,,,
01/02/1991,8.2,,,-0.5,18327,13.88,-27,,,
01/03/1991,8.3,,,-0.5,18341,12.88,-1,,,
01/04/1991,8,,,-0.1,18302,12.38,5,,,
01/05/1991,7.5,,,-0.1,18506,11.88,-1,,,
01/06/1991,7.7,,,-0.1,18573,11.38,-9,,,
01/07/1991,7.5,,,-0.2,18579,11.38,-7,,,
